MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,7920320,0.6949152542372882,11106,11170,17623615
1,1,27041578,0.6949152542372882,11106,11170,7081486
1,2,8444982,0.6949152542372882,11106,11170,8721992
1,3,6797390,0.6949152542372882,11106,11170,8807917
1,4,7249170,0.6949152542372882,11106,11170,8746498
1,5,7790995,0.6949152542372882,11106,11170,8267934
1,6,7354173,0.6949152542372882,11106,11170,8217182
1,7,7829768,0.6949152542372882,11106,11170,8898544
1,8,8379461,0.6949152542372882,11106,11170,9004237
1,9,8336001,0.6949152542372882,11106,11170,9713140
2,0,7198026,0.6119402985074627,11267,11283,8639400
2,1,8111295,0.6119402985074627,11267,11283,8227068
2,2,7368930,0.6119402985074627,11267,11283,9687420
2,3,7691323,0.6119402985074627,11267,11283,8339462
2,4,7977241,0.6119402985074627,11267,11283,8819330
2,5,7549618,0.6119402985074627,11267,11283,8318677
2,6,7895126,0.6119402985074627,11267,11283,8128672
2,7,8102882,0.6119402985074627,11267,11283,8902330
2,8,7920938,0.6119402985074627,11267,11283,9931201
2,9,8024825,0.6119402985074627,11267,11283,8019401
3,0,7226784,0.6307692307692307,10873,10841,8803332
3,1,8134488,0.6307692307692307,10873,10841,14062064
3,2,8217185,0.6307692307692307,10873,10841,9014133
3,3,7364153,0.6307692307692307,10873,10841,8374893
3,4,8037176,0.6307692307692307,10873,10841,7986893
3,5,7373837,0.6307692307692307,10873,10841,8280850
3,6,8760784,0.6307692307692307,10873,10841,7887759
3,7,7362093,0.6307692307692307,10873,10841,8452800
3,8,7444940,0.6307692307692307,10873,10841,8171475
3,9,6921767,0.6307692307692307,10873,10841,7906004
4,0,7794943,0.6833333333333333,10633,10553,8201872
4,1,8231103,0.6833333333333333,10633,10553,7899534
4,2,7883646,0.6833333333333333,10633,10553,8838645
4,3,7048885,0.6833333333333333,10633,10553,8919289
4,4,8762612,0.6833333333333333,10633,10553,12262200
4,5,7633777,0.6833333333333333,10633,10553,8998715
4,6,7874177,0.6833333333333333,10633,10553,8000692
4,7,8734491,0.6833333333333333,10633,10553,7791146
4,8,7060627,0.6833333333333333,10633,10553,8113965
4,9,8100181,0.6833333333333333,10633,10553,7300487
5,0,8646600,0.7192982456140351,10489,10361,7446958
5,1,7820981,0.7192982456140351,10489,10361,7107546
5,2,7730643,0.7192982456140351,10489,10361,8644047
5,3,8024946,0.7192982456140351,10489,10361,9583618
5,4,8191998,0.7192982456140351,10489,10361,7644463
5,5,7753764,0.7192982456140351,10489,10361,8967506
5,6,7142629,0.7192982456140351,10489,10361,7928456
5,7,8563035,0.7192982456140351,10489,10361,7491222
5,8,7093971,0.7192982456140351,10489,10361,9072344
5,9,8808371,0.7192982456140351,10489,10361,7990812
6,0,7200261,0.7592592592592593,10281,10105,7696151
6,1,8257437,0.7592592592592593,10281,10105,8257437
6,2,7514667,0.7592592592592593,10281,10105,7819207
6,3,7839891,0.7592592592592593,10281,10105,15966450
6,4,11169675,0.7592592592592593,10281,10105,8276593
6,5,7796563,0.7592592592592593,10281,10105,8668013
6,6,6974985,0.7592592592592593,10281,10105,8288087
6,7,7222448,0.7592592592592593,10281,10105,8753951
6,8,7863982,0.7592592592592593,10281,10105,8076074
6,9,8249399,0.7592592592592593,10281,10105,8154293
7,0,7359904,0.7884615384615384,10233,10009,8624201
7,1,7692873,0.7884615384615384,10233,10009,8914847
7,2,8421697,0.7884615384615384,10233,10009,8698830
7,3,7885421,0.7884615384615384,10233,10009,8441406
7,4,8435194,0.7884615384615384,10233,10009,7241781
7,5,8079840,0.7884615384615384,10233,10009,7155750
7,6,7065226,0.7884615384615384,10233,10009,8459606
7,7,8041491,0.7884615384615384,10233,10009,9211507
7,8,7539122,0.7884615384615384,10233,10009,8558808
7,9,8184832,0.7884615384615384,10233,10009,8554754
8,0,8139855,0.7884615384615384,10281,10009,8547484
8,1,7150176,0.7884615384615384,10281,10009,7944591
8,2,8051074,0.7884615384615384,10281,10009,8129475
8,3,8280278,0.7884615384615384,10281,10009,7018344
8,4,7664630,0.7884615384615384,10281,10009,8840141
8,5,8054257,0.7884615384615384,10281,10009,8027145
8,6,7826189,0.7884615384615384,10281,10009,7169888
8,7,7773261,0.7884615384615384,10281,10009,7686005
8,8,8305916,0.7884615384615384,10281,10009,8029270
8,9,8144360,0.7884615384615384,10281,10009,8923287
9,0,7101845,0.803921568627451,10249,9913,8204469
9,1,7060555,0.803921568627451,10249,9913,8000387
9,2,8108184,0.803921568627451,10249,9913,8755234
9,3,7599964,0.803921568627451,10249,9913,8259402
9,4,8373379,0.803921568627451,10249,9913,7300315
9,5,7249015,0.803921568627451,10249,9913,8137547
9,6,7996117,0.803921568627451,10249,9913,7865832
9,7,7568002,0.803921568627451,10249,9913,7912943
9,8,7906722,0.803921568627451,10249,9913,10550005
9,9,7276231,0.803921568627451,10249,9913,8138249
