MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,378724422,0.9846628191951933,34479,34543,277108207
1,1,379562336,0.9846628191951933,34479,34543,292722873
1,2,379104323,0.9846628191951933,34479,34543,276155382
1,3,373637333,0.9846628191951933,34479,34543,286926262
1,4,379024853,0.9846628191951933,34479,34543,273870753
1,5,382009188,0.9846628191951933,34479,34543,278784877
1,6,377799617,0.9846628191951933,34479,34543,286726066
1,7,360664981,0.9846628191951933,34479,34543,273023540
1,8,363922091,0.9846628191951933,34479,34543,272119114
1,9,355975775,0.9846628191951933,34479,34543,290372148
2,0,8320937939,0.46282189439262755,1605910,1575972,6579481301
2,1,8304411630,0.46282189439262755,1605910,1575972,6476783118
2,2,8302158178,0.46278750046445954,1605910,1574306,6464588511
2,3,8393919694,0.4627015380043094,1605910,1574012,6566022690
2,4,8350653444,0.46269007875575807,1605910,1574208,6674555594
2,5,8378618885,0.4640231483781233,1590138,1558756,6560878007
2,6,8237451478,0.4640231483781233,1590138,1558756,6550619979
2,7,8372270443,0.4640231483781233,1590138,1558756,6507052940
2,8,8274887217,0.4640231483781233,1590138,1558756,6433226735
2,9,8179615344,0.4640231483781233,1590138,1558756,6543635235
3,0,3606986418,0.5263936435484553,1253842,1231891,2895713519
3,1,3607896187,0.5263936435484553,1253842,1231891,3187880663
3,2,3666595005,0.5263788124251603,1253843,1231991,2882092465
3,3,3694498756,0.5264381419333023,1253842,1231693,2882054550
3,4,3594490134,0.5263713971769082,1253842,1231990,2894817877
3,5,3537892916,0.5281272084805654,1254103,1232251,2834144024
3,6,3522276346,0.5281272084805654,1254103,1232251,2836066823
3,7,3525259196,0.5281272084805654,1254103,1232251,2839723626
3,8,3525762288,0.5281272084805654,1254103,1232251,2833351922
3,9,3501512708,0.5281272084805654,1254103,1232251,2802644553
4,0,2098766784,0.6004049298603634,965196,946204,1689391667
4,1,2118898756,0.6004049298603634,965196,946204,1656063104
4,2,2093829571,0.6003856350927934,965197,944205,1648852689
4,3,2055817758,0.6003856350927934,965195,946203,1650902722
4,4,1976754519,0.6030892891729615,955996,937696,1607730397
4,5,2054713402,0.6030892891729615,955996,937696,1585327671
4,6,2000999081,0.6030892891729615,955996,937696,1591104347
4,7,1953258715,0.6030892891729615,955996,937696,1605497210
4,8,1982052011,0.6030892891729615,955996,937696,1579619892
4,9,2039551486,0.6030892891729615,955996,937696,1610022993
5,0,1322540126,0.6548140618975851,782276,771047,1055291406
5,1,1334616578,0.6548140618975851,782276,771047,1047421002
5,2,1377107720,0.6548255375825871,782278,770544,1046001406
5,3,1348283166,0.6548370136698213,782279,771050,1071903359
5,4,1276460238,0.6581705448204189,774981,756018,1043148700
5,5,1273166476,0.6581705448204189,774981,756018,1026688891
5,6,1310761297,0.6581705448204189,774981,756018,1013394150
5,7,1271054525,0.6581705448204189,774981,756018,1024330748
5,8,1294959704,0.6581705448204189,774981,756018,1041174453
5,9,1301404818,0.6581705448204189,774981,756018,1014557471
6,0,968820610,0.69597854229143,659604,648100,761593338
6,1,920564446,0.69597854229143,659604,648100,741757153
6,2,930335957,0.695965578900313,659602,649016,755249653
6,3,974216216,0.695965578900313,659601,648403,734312082
6,4,884822436,0.7000074937240062,653706,643248,696609625
6,5,886187458,0.7000074937240062,653706,643248,695895099
6,6,871746577,0.7000074937240062,653706,643248,688210509
6,7,868741808,0.7000074937240062,653706,643248,708054285
6,8,916138426,0.7000074937240062,653706,643248,704479018
6,9,890151162,0.7000074937240062,653706,643248,705717927
7,0,696394328,0.7287603370260571,574217,564619,546822635
7,1,697064511,0.7287603370260571,574217,564619,562322649
7,2,701400796,0.7286892758936755,574213,563276,566274133
7,3,692612640,0.7287603370260571,574214,564719,559368152
7,4,666761771,0.7333516515868187,563658,554078,516664225
7,5,643796927,0.7333516515868187,563658,554078,514404611
7,6,646538012,0.7333516515868187,563658,554078,522489527
7,7,645770146,0.7333516515868187,563658,554078,512460646
7,8,651503121,0.7333516515868187,563658,554078,514917551
7,9,654520240,0.7333516515868187,563658,554078,524972500
8,0,553333513,0.7554742311813826,513914,500306,433502886
8,1,579553353,0.7554742311813826,513914,500306,438650932
8,2,549964023,0.7555047819317792,513914,503946,433989424
8,3,536712825,0.7554895062477254,513906,505394,431847812
8,4,503111533,0.7605952041688718,499568,491136,397133152
8,5,515693072,0.7605952041688718,499568,491136,406202098
8,6,492165109,0.7605952041688718,499568,491136,401370858
8,7,504054784,0.7605952041688718,499568,491136,397950952
8,8,510401304,0.7605952041688718,499568,491136,413621561
8,9,529288655,0.7605952041688718,499568,491136,409799739
9,0,455905877,0.7777569626576746,459748,455116,336849771
9,1,429107583,0.7777569626576746,459748,455116,336190191
9,2,428801145,0.7777569626576746,459754,455752,346559555
9,3,443795955,0.777627471383975,459746,452174,345456030
9,4,401807260,0.7833004905454698,451603,444102,322392018
9,5,407091740,0.7833004905454698,451603,444102,314926988
9,6,392032946,0.7833004905454698,451603,444102,325034179
9,7,419148890,0.7833004905454698,451603,444102,318967982
9,8,406601700,0.7833004905454698,451603,444102,319709354
9,9,397734794,0.7833004905454698,451603,444102,331551220
