MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,318548652,1.5263065364916022,21089,21153,170822942
1,1,325582587,1.5263065364916022,21089,21153,167672514
1,2,308290304,1.5263065364916022,21089,21153,172927685
1,3,311677654,1.5263065364916022,21089,21153,189715349
1,4,314499277,1.5263065364916022,21089,21153,171217381
1,5,323341306,1.5263065364916022,21089,21153,175154817
1,6,322316231,1.5263065364916022,21089,21153,169796700
1,7,316781874,1.5263065364916022,21089,21153,180656602
1,8,310107353,1.5263065364916022,21089,21153,176633766
1,9,315444446,1.5263065364916022,21089,21153,175586319
2,0,1047700983,1.4788662018215266,73129,72317,221831325
2,1,1049092334,1.4788662018215266,73129,72317,224811287
2,2,1416303817,1.4527017982240864,98638,98185,274163063
2,3,3352946134,1.3405183949931032,202642,199560,931134136
2,4,3337188604,1.5534904805077063,300342,295502,1796777002
2,5,3471991374,1.5534904805077063,300342,295502,1735490726
2,6,3348085046,1.5534904805077063,300342,295502,1806239135
2,7,3365805952,1.5534904805077063,300342,295502,1743997448
2,8,3458877459,1.5534904805077063,300342,295502,1811747737
2,9,3651706595,1.5534904805077063,300342,295502,1749413552
3,0,1022658346,1.4864115236671194,72805,72929,203381932
3,1,1020438848,1.4864115236671194,72805,72929,200595313
3,2,1450999372,1.4675501763638616,99361,98182,221076541
3,3,3320686022,1.3989558267445859,202417,199805,371269018
3,4,10600183284,1.2955232789494628,927984,917064,6868374025
3,5,10884414094,1.2955232789494628,927984,917064,6880089534
3,6,10939311339,1.2955232789494628,927984,917064,6821816458
3,7,10700107005,1.2955232789494628,927984,917064,6818091747
3,8,10809082192,1.2955232789494628,927984,917064,6692701228
3,9,10655429785,1.2955232789494628,927984,917064,6890712872
4,0,1026576366,1.4846322221715536,72859,72757,193605796
4,1,994547297,1.4846322221715536,72859,72757,198796461
4,2,1368311280,1.4657827202737383,99262,97711,202108765
4,3,3104489741,1.39740962110075,202336,199529,322793071
4,4,14385552717,1.0593422326345674,1058248,1040355,4751207928
4,5,13545792262,1.048332823493423,1456104,1431660,9563513977
4,6,13626205777,1.048332823493423,1456104,1431660,9648965819
4,7,13503813679,1.048332823493423,1456104,1431660,9403580229
4,8,13515112344,1.048332823493423,1456104,1431660,9519126077
4,9,13548836769,1.048332823493423,1456104,1431660,9512171152
5,0,1032078274,1.4821146076367153,73419,72575,194534358
5,1,1000367336,1.4821146076367153,73419,72575,196364112
5,2,1312265416,1.4630655326989406,99081,98517,205664221
5,3,2878129064,1.3916305114449978,202137,199154,294889762
5,4,12550900533,1.0204040055789754,1057925,1039707,3548363687
5,5,11557072030,0.9290178061865084,1657065,1628584,8568218627
5,6,11417852502,0.9290178061865084,1657065,1628584,8498723233
5,7,11463156542,0.9290178061865084,1657065,1628584,8504920947
5,8,11430883978,0.9290178061865084,1657065,1628584,8633984372
5,9,11348663554,0.9290178061865084,1657065,1628584,8336360877
6,0,936406119,1.4799249957383942,73242,72930,188475041
6,1,996335288,1.4799249957383942,73242,72930,187458224
6,2,1371415586,1.45913119474728,98855,98371,202370500
6,3,2686191810,1.3824709654132785,203876,200779,285131749
6,4,10729089054,0.9895066371849521,1057716,1039966,2911167540
6,5,9293733237,0.8777584556692415,1656996,1629104,6869790724
6,6,9093320726,0.8777584556692415,1656996,1629104,6893327280
6,7,9207307825,0.8777584556692415,1656996,1629104,6990645295
6,8,9235949933,0.8777584556692415,1656996,1629104,6815732956
6,9,9158023488,0.8777584556692415,1656996,1629104,6872282782
7,0,976964766,1.4774065460321062,73086,72857,194309110
7,1,1014996013,1.4774065460321062,73086,72857,197742782
7,2,1315135209,1.4560966064739755,98630,98114,198319229
7,3,2602105793,1.376436143788777,203596,200595,282793089
7,4,9098638330,0.9665917002531045,1057210,1039426,2599256776
7,5,7078890028,0.8619500539438587,1575858,1533736,5330709405
7,6,7179394717,0.8619500539438587,1575858,1533736,5247028605
7,7,6934434067,0.8619500539438587,1575858,1533736,5338346423
7,8,6950357759,0.8619500539438587,1575858,1533736,5501774216
7,9,6981701787,0.8619500539438587,1575858,1533736,5477240088
8,0,937377410,1.4759330409257307,73601,72645,188722215
8,1,999439517,1.4759330409257307,73601,72645,194113365
8,2,1245141414,1.4535936331469266,99400,98133,199389963
8,3,2566211831,1.3696754243883968,203376,200020,272539671
8,4,7665750628,0.9437418924696896,1056631,1038797,2441607446
8,5,5472607474,0.8548041957123915,1468832,1443736,4159464430
8,6,5502995931,0.8548041957123915,1468832,1443736,4382285965
8,7,5459253189,0.8548041957123915,1468832,1443736,4224579433
8,8,5397874702,0.8548041957123915,1468832,1443736,4312053250
8,9,5351621521,0.8548041957123915,1468832,1443736,4225939451
9,0,928601893,1.4738784010140793,73425,72357,184044290
9,1,958118359,1.4738784010140793,73425,72357,189503125
9,2,1305609096,1.4511801020749293,99219,97783,190218880
9,3,2457716853,1.3632661606909187,203173,200061,262881547
9,4,6415197044,0.9248086127799793,1056084,1039154,2280973262
9,5,4535703719,0.8570149980586103,1369235,1347166,3368040670
9,6,4542060364,0.8570149980586103,1369235,1347166,3386168544
9,7,4385497969,0.8570149980586103,1369235,1347166,3526436209
9,8,6633191082,0.8570149980586103,1369235,1347166,3482029270
9,9,4489536456,0.8570149980586103,1369235,1347166,3436004296
