MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,136901270,0.9846628191951933,34312,33774,99405549
1,1,122248049,0.9846628191951933,34312,33774,95301229
1,2,127494627,0.9846628191951933,34312,33774,102287183
1,3,128869197,0.9846628191951933,34312,33774,95846487
1,4,119915390,0.9846628191951933,34312,33774,93639202
1,5,120544333,0.9846628191951933,34312,33774,99817786
1,6,119691597,0.9846628191951933,34312,33774,96935806
1,7,119830435,0.9846628191951933,34312,33774,93304837
1,8,126857920,0.9846628191951933,34312,33774,97377473
1,9,127397683,0.9846628191951933,34312,33774,98963363
2,0,127410604,0.9846628191951933,34360,33774,97583174
2,1,123047788,0.9846628191951933,34360,33774,99865694
2,2,117308333,0.9846628191951933,34360,33774,95402059
2,3,123238950,0.9846628191951933,34360,33774,97104714
2,4,122671946,0.9846628191951933,34360,33774,98711416
2,5,120392615,0.9846628191951933,34360,33774,100689060
2,6,117502424,0.9846628191951933,34360,33774,92348312
2,7,122031046,0.9846628191951933,34360,33774,92725031
2,8,123443234,0.9846628191951933,34360,33774,101182325
2,9,128506074,0.9846628191951933,34360,33774,98983132
3,0,146160420,0.9632885611900281,61804,61274,95689800
3,1,137443968,0.9632885611900281,61804,61274,104866867
3,2,151274093,0.9604410857495373,65804,64428,95730389
3,3,140741750,0.9604410857495373,65804,64428,102159939
3,4,145994748,0.9604410857495373,65804,64428,98669655
3,5,142463869,0.9604410857495373,65804,64428,99417813
3,6,148351019,0.9604410857495373,65804,64428,101128559
3,7,149569804,0.9604410857495373,65804,64428,100714165
3,8,147914753,0.9604410857495373,65804,64428,107490432
3,9,147885005,0.9604410857495373,65804,64428,97545639
4,0,143889976,0.9632885611900281,61680,60922,101019549
4,1,141298213,0.9632885611900281,61680,60922,102781578
4,2,146190358,0.9543573763792399,73541,72266,102999071
4,3,157218960,0.9543573763792399,73541,72266,101541120
4,4,147453883,0.9543573763792399,73541,72266,102439788
4,5,146444562,0.9543573763792399,73541,72266,102558647
4,6,143117187,0.9543573763792399,73541,72266,96852519
4,7,153201332,0.9543573763792399,73541,72266,106287571
4,8,150242519,0.9543573763792399,73541,72266,100743506
4,9,143637339,0.9543573763792399,73541,72266,105380125
5,0,161724656,0.9624697336561744,62414,61317,106659327
5,1,157930765,0.9624697336561744,62414,61317,103120076
5,2,201405045,0.9432747652226599,87926,86512,105117329
5,3,330620904,0.8725655037130446,192472,188569,132558865
5,4,1105634657,0.630909766310955,737886,723774,619923431
5,5,1167995624,0.630909766310955,737886,723774,661132899
5,6,1121781641,0.630909766310955,737886,723774,618203401
5,7,1150066359,0.630909766310955,737886,723774,640727451
5,8,1113783780,0.630909766310955,737886,723774,655770198
5,9,1152237098,0.630909766310955,737886,723774,621818726
6,0,161011821,0.9630899296337345,61898,61143,96506703
6,1,157214133,0.9630899296337345,61898,61143,102250693
6,2,192879239,0.9435367793742582,88111,86058,106841909
6,3,331481048,0.8726673984632273,192730,187702,134351320
6,4,860933687,0.6635588705380927,643348,627444,483238358
6,5,927520259,0.6635588705380927,643348,627444,463421619
6,6,923958340,0.6635588705380927,643348,627444,462061884
6,7,884255494,0.6635588705380927,643348,627444,493255993
6,8,922467134,0.6635588705380927,643348,627444,471144556
6,9,891040466,0.6635588705380927,643348,627444,461489466
7,0,159373352,0.9632388956201181,62197,60907,99222337
7,1,165318030,0.9632388956201181,62197,60907,98750831
7,2,204007029,0.9440373926225366,87755,85984,103748466
7,3,304517412,0.8740146429323291,192342,187878,126973440
7,4,695679897,0.6814948566425914,599228,591567,395168133
7,5,703853085,0.6814948566425914,599228,591567,361586691
7,6,654026169,0.6814948566425914,599228,591567,390876058
7,7,704744858,0.6814948566425914,599228,591567,387417979
7,8,701546908,0.6814948566425914,599228,591567,398203032
7,9,718577898,0.6814948566425914,599228,591567,399253004
8,0,171039498,0.9635121196493037,62173,60831,104389335
8,1,164604347,0.9635121196493037,62173,60831,97682914
8,2,199652436,0.9440373926225366,87721,86477,106833799
8,3,317309539,0.8741373260030413,192404,188982,128285043
8,4,623861804,0.7050532115631368,536207,528575,314729697
8,5,602710588,0.7050532115631368,536207,528575,335600924
8,6,636198542,0.7050532115631368,536207,528575,331262090
8,7,596763408,0.7050532115631368,536207,528575,317099049
8,8,605347534,0.7050532115631368,536207,528575,324570848
8,9,618162167,0.7050532115631368,536207,528575,326047428
9,0,157611873,0.9637357818988419,62490,61088,97897876
9,1,158654670,0.9637357818988419,62490,61088,98826301
9,2,190396405,0.9446101729194054,88291,86207,100594428
9,3,292841296,0.8754480916567091,192007,188550,125612715
9,4,493520183,0.7241700098842956,499170,487318,264932847
9,5,508719156,0.7241700098842956,499170,487318,260933357
9,6,492305253,0.7241700098842956,499170,487318,270594147
9,7,485571828,0.7241700098842956,499170,487318,270475192
9,8,462913257,0.7241700098842956,499170,487318,266432076
9,9,461431336,0.7241700098842956,499170,487318,271585527
