MaxLength,MemoryLimit,Compressietijd (nanoseconds),Compressieratio,geheugenverbruik_bij_compressie, geheugenverbruik_bij_decompressie, decompressietijd (nanoseconds)
1,0,116234187,1.5263065364916022,20466,20337,82309305
1,1,109435698,1.5263065364916022,20466,20337,79547099
1,2,116267182,1.5263065364916022,20466,20337,78452779
1,3,109258790,1.5263065364916022,20466,20337,75931051
1,4,109637342,1.5263065364916022,20466,20337,79424426
1,5,108784074,1.5263065364916022,20466,20337,73041426
1,6,109951899,1.5263065364916022,20466,20337,84558675
1,7,111210014,1.5263065364916022,20466,20337,69326462
1,8,113143761,1.5263065364916022,20466,20337,82447370
1,9,111993757,1.5263065364916022,20466,20337,83164595
2,0,152351435,1.5263065364916022,20514,20337,72931744
2,1,107210019,1.5263065364916022,20514,20337,83213818
2,2,112100487,1.5263065364916022,20514,20337,78720191
2,3,110838959,1.5263065364916022,20514,20337,74115946
2,4,107935542,1.5263065364916022,20514,20337,71103068
2,5,106262774,1.5263065364916022,20514,20337,73099399
2,6,106299980,1.5263065364916022,20514,20337,80672060
2,7,105973773,1.5263065364916022,20514,20337,77981803
2,8,115824455,1.5263065364916022,20514,20337,76728211
2,9,108094343,1.5263065364916022,20514,20337,75003348
3,0,286966865,1.47621746621928,67567,66599,104070221
3,1,297134474,1.47621746621928,67567,66599,100025355
3,2,313353559,1.4634272421814423,77948,77276,117667416
3,3,313783709,1.4634272421814423,77948,77276,120108645
3,4,320486951,1.4634272421814423,77948,77276,117586262
3,5,308224410,1.4634272421814423,77948,77276,115968979
3,6,310196819,1.4634272421814423,77948,77276,118790302
3,7,321397958,1.4634272421814423,77948,77276,114459821
3,8,305542526,1.4634272421814423,77948,77276,116994310
3,9,322318501,1.4634272421814423,77948,77276,118668387
4,0,285901871,1.4878890361500845,68489,67393,85905833
4,1,289656427,1.4878890361500845,68489,67393,88749907
4,2,388091877,1.4671203091378164,93985,92933,105579436
4,3,646620368,1.4103644338549846,178771,175792,194358945
4,4,688599897,1.4103644338549846,178771,175792,190542154
4,5,653952685,1.4103644338549846,178771,175792,197781745
4,6,650296078,1.4103644338549846,178771,175792,191821350
4,7,659927919,1.4103644338549846,178771,175792,204039056
4,8,762736596,1.4103644338549846,178771,175792,208632987
4,9,758982071,1.4103644338549846,178771,175792,201490271
5,0,308633759,1.4878720365609825,69674,68207,86064061
5,1,301747364,1.4878720365609825,69674,68207,88114442
5,2,391127818,1.4651230817694973,94844,93825,97026625
5,3,909404569,1.383440275358008,197732,194609,189223641
5,4,1841356015,1.277113632574606,429040,419364,785773853
5,5,1889875052,1.277113632574606,429040,419364,780310853
5,6,1803918827,1.277113632574606,429040,419364,823938262
5,7,1742323471,1.277113632574606,429040,419364,804326329
5,8,1752734153,1.277113632574606,429040,419364,791879228
5,9,1771977011,1.277113632574606,429040,419364,795059575
6,0,292438039,1.488110066163111,69307,67808,85978375
6,1,285153343,1.488110066163111,69307,67808,88147597
6,2,393438957,1.4664924944538913,95247,93606,100094046
6,3,862089824,1.3864006558005344,198405,194749,175372447
6,4,1945288460,1.2401295114750976,496691,488619,856401993
6,5,1952090970,1.2401295114750976,496691,488619,878787501
6,6,1974553578,1.2401295114750976,496691,488619,868325677
6,7,1996143397,1.2401295114750976,496691,488619,869689214
6,8,1933398728,1.2401295114750976,496691,488619,882245416
6,9,2000052901,1.2401295114750976,496691,488619,856469811
7,0,291026850,1.4888416335116843,70141,68755,78562042
7,1,288692884,1.4888416335116843,70141,68755,80560095
7,2,400514137,1.4705331029732263,95544,93888,92471006
7,3,860653246,1.4005958334677724,198865,194846,137757891
7,4,4250874185,1.1593679056309816,787075,771784,1712571912
7,5,4234771513,1.1593679056309816,787075,771784,1713370616
7,6,4232843293,1.1593679056309816,787075,771784,1703863725
7,7,4077394504,1.1593679056309816,787075,771784,1810969729
7,8,4073522893,1.1593679056309816,787075,771784,1800128504
7,9,4248877653,1.1593679056309816,787075,771784,1810038611
8,0,279689144,1.488977818431283,69772,68677,82874439
8,1,274784842,1.488977818431283,69772,68677,79051098
8,2,393944462,1.4706327427132386,95912,93513,92211288
8,3,827400393,1.3991061260448225,199429,194224,133775605
8,4,4035426478,1.1522895190903861,790407,771534,1653070004
8,5,4151766927,1.1522895190903861,790407,771534,1719143427
8,6,3964377532,1.1522895190903861,790407,771534,1664827486
8,7,4088184177,1.1522895190903861,790407,771534,1700520588
8,8,4003625196,1.1522895190903861,790407,771534,1652641949
8,9,3991428864,1.1522895190903861,790407,771534,1614018452
9,0,277623519,1.4876170893305918,69998,68628,82768927
9,1,273729352,1.4876170893305918,69998,68628,79848649
9,2,392669229,1.4693219000338487,96088,93520,87835173
9,3,814176451,1.3993617089865786,198118,195788,128942470
9,4,4741817679,1.1110011517297274,938770,921309,1965636340
9,5,4588854703,1.1110011517297274,938770,921309,2033020934
9,6,4548708925,1.1110011517297274,938770,921309,1968344674
9,7,4614025073,1.1110011517297274,938770,921309,2038996353
9,8,4594678034,1.1110011517297274,938770,921309,2029905441
9,9,4665849722,1.1110011517297274,938770,921309,1934040233
